Gabigol,"R$ 1.250.000,00"
Arrascaeta,"R$ 950.000,00"
Bruno Henrique,"R$ 650.000,00"
Rafinha,"R$ 750.000,00"
Felipe Luis,"R$ 800.000,00"
Vitinho,"R$ 800.000,00"
Diego Alves,"R$ 700.000,00"
Rodrigo Caio,"R$ 550.000,00"
Pablo Mari,"R$ 300.000,00"
Pires da motta,"R$ 200.000,00"
Thiago,"R$ 20.000,00"
César,"R$ 50.000,00"
Rodinei,"R$ 160.000,00"
Reinier,"R$ 15.000,00"
Renê,"R$ 210.000,00"
Juan,"R$ 190.000,00"
Rhodolfo,"R$ 300.000,00"
Arão,"R$ 140.000,00"
Cuellar,"R$ 210.000,00"
Everton Ribeiro,"R$ 500.000,00"
Diego Ribas,"R$ 715.000,00"
Berrio,"R$ 320.000,00"
Lincoln,"R$ 10.000,00"
Wsley,"R$ 10.000,00"
Klebinho,"R$ 10.000,00"
Ronaldo,"R$ 45.000,00"
Jonas,"R$ 75.000,00"
Thuler,"R$ 10.000,00"
Léo Duarte,"R$ 15.000,00"
